Name;Station;Time;Precipitation
Overhalla - Unnset;SN72650;2020-03-24;0.1
Overhalla - Unnset;SN72650;2020-03-25;18.2
Overhalla - Unnset;SN72650;2020-03-26;11.5
Overhalla - Unnset;SN72650;2020-03-27;2.7
Overhalla - Unnset;SN72650;2020-03-28;5
Overhalla - Unnset;SN72650;2020-03-29;2.7
Overhalla - Unnset;SN72650;2020-03-30;8.6
Overhalla - Unnset;SN72650;2020-03-31;10.2
Overhalla - Unnset;SN72650;2020-04-01;12.3
Overhalla - Unnset;SN72650;2020-04-02;12.5
Overhalla - Unnset;SN72650;2020-04-03;5.5
Overhalla - Unnset;SN72650;2020-04-04;0
Overhalla - Unnset;SN72650;2020-04-05;1
Overhalla - Unnset;SN72650;2020-04-06;2
Overhalla - Unnset;SN72650;2020-04-07;12
Overhalla - Unnset;SN72650;2020-04-08;0.6
Overhalla - Unnset;SN72650;2020-04-09;12.3
Overhalla - Unnset;SN72650;2020-04-10;11
Overhalla - Unnset;SN72650;2020-04-11;3.6
Overhalla - Unnset;SN72650;2020-04-12;6.1
Overhalla - Unnset;SN72650;2020-04-13;8
Overhalla - Unnset;SN72650;2020-04-14;3.5
Overhalla - Unnset;SN72650;2020-04-15;12.5
Overhalla - Unnset;SN72650;2020-04-16;12.6
Overhalla - Unnset;SN72650;2020-04-17;9.8
Overhalla - Unnset;SN72650;2020-04-18;1.8
Overhalla - Unnset;SN72650;2020-04-19;0.1
Overhalla - Unnset;SN72650;2020-04-20;0.1
Overhalla - Unnset;SN72650;2020-04-21;0
Overhalla - Unnset;SN72650;2020-04-22;0
Overhalla - Unnset;SN72650;2020-04-23;0
Overhalla - Unnset;SN72650;2020-04-24;5.8
Overhalla - Unnset;SN72650;2020-04-25;1.8
Overhalla - Unnset;SN72650;2020-04-26;2.7
Overhalla - Unnset;SN72650;2020-04-27;0.2
Overhalla - Unnset;SN72650;2020-04-28;0
Overhalla - Unnset;SN72650;2020-04-29;0
Overhalla - Unnset;SN72650;2020-04-30;0
Overhalla - Unnset;SN72650;2020-05-01;0
Overhalla - Unnset;SN72650;2020-05-02;0.1
Overhalla - Unnset;SN72650;2020-05-03;2.9
Overhalla - Unnset;SN72650;2020-05-04;9.6
Overhalla - Unnset;SN72650;2020-05-05;2.2
Overhalla - Unnset;SN72650;2020-05-06;7.4
Overhalla - Unnset;SN72650;2020-05-07;7.6
Overhalla - Unnset;SN72650;2020-05-08;8.7
Overhalla - Unnset;SN72650;2020-05-09;2.3
Overhalla - Unnset;SN72650;2020-05-10;1.5
Overhalla - Unnset;SN72650;2020-05-11;0
Overhalla - Unnset;SN72650;2020-05-12;7.5
Overhalla - Unnset;SN72650;2020-05-13;10.9
Overhalla - Unnset;SN72650;2020-05-14;5.7
Overhalla - Unnset;SN72650;2020-05-15;3.3
Overhalla - Unnset;SN72650;2020-05-16;5.6
Overhalla - Unnset;SN72650;2020-05-17;0.4
Overhalla - Unnset;SN72650;2020-05-18;1.5
Overhalla - Unnset;SN72650;2020-05-19;5.5
Overhalla - Unnset;SN72650;2020-05-20;2
Overhalla - Unnset;SN72650;2020-05-21;1.5
Overhalla - Unnset;SN72650;2020-05-22;0
Overhalla - Unnset;SN72650;2020-05-23;0.3
Overhalla - Unnset;SN72650;2020-05-24;0
Overhalla - Unnset;SN72650;2020-05-25;0
Overhalla - Unnset;SN72650;2020-05-26;0
Overhalla - Unnset;SN72650;2020-05-27;1.6
Overhalla - Unnset;SN72650;2020-05-28;7.7
Overhalla - Unnset;SN72650;2020-05-29;6.6
Overhalla - Unnset;SN72650;2020-05-30;2
Overhalla - Unnset;SN72650;2020-05-31;0
Overhalla - Unnset;SN72650;2020-06-01;0
Overhalla - Unnset;SN72650;2020-06-02;0
Overhalla - Unnset;SN72650;2020-06-03;0
Overhalla - Unnset;SN72650;2020-06-04;0.8
Overhalla - Unnset;SN72650;2020-06-05;0
Overhalla - Unnset;SN72650;2020-06-06;0
Overhalla - Unnset;SN72650;2020-06-07;5.5
Overhalla - Unnset;SN72650;2020-06-08;2.6
Overhalla - Unnset;SN72650;2020-06-09;1.2
Overhalla - Unnset;SN72650;2020-06-10;0
Overhalla - Unnset;SN72650;2020-06-11;0
Overhalla - Unnset;SN72650;2020-06-12;0
Overhalla - Unnset;SN72650;2020-06-13;0
Overhalla - Unnset;SN72650;2020-06-14;0
Overhalla - Unnset;SN72650;2020-06-15;1.5
