Date;Location;Sublocation;Block;Treatment;Subplot;Microtopography;Sph_ang;Sph_cap;Sph_ten;Sph_pap;Sph_div;Sph_rus;Sph_com;Sph_maj;Sph_bal;Sph_fus;Sph_rip;Sph_cf;Total;Notat
13.09.2021;HM;3;2;S1;3;2;10;3;7;1;;;;;;;;;21;
13.09.2021;HM;3;2;S1;4;6;5;5;25;0;;;;;;;;;35;
13.09.2021;HM;3;2;S2;1;2;15;8;15;2;;;;;;;;;40;
13.09.2021;HM;3;2;S2;2;3;6;1;10;1;;;;;;;;;18;
13.09.2021;HM;3;2;S2;3;2;8;3;8;1;;;;;;;;;20;
13.09.2021;HM;3;2;S2;4;4;5;5;15;2;;;;;;;;;27;
13.09.2021;HM;3;3;S1;1;2;10;0;12;3;;;;;;;;;25;
13.09.2021;HM;3;3;S1;2;2;4;3;12;1;;;;;;;;;20;
13.09.2021;HM;3;3;S1;3;2;8;2;10;0;;;;;;;;;20;
13.09.2021;HM;3;3;S1;4;2;6;2;5;2;;;;;;;;;15;
13.09.2021;HM;3;3;S2;1;3;15;5;15;10;;;;;;;;;45;
13.09.2021;HM;3;3;S2;2;2;10;3;10;0;;;;;;;;;23;
13.09.2021;HM;3;3;S2;3;2;10;10;20;2;;;;;;;;;42;
13.09.2021;HM;3;3;S2;4;3;10;2;10;2;;;;;;;;;24;
13.09.2021;HM;3;4;S1;1;2;20;1;5;10;;;;;;;;;36;
13.09.2021;HM;3;4;S1;2;2;10;5;15;5;;;;;;;;;35;
13.09.2021;HM;3;4;S1;3;3;15;5;8;0;;;;;;;;;28;
13.09.2021;HM;3;4;S1;4;2;20;10;10;5;;;;;;;;;45;
13.09.2021;HM;3;4;S2;1;3;10;7;15;15;;;;;;;;;47;
13.09.2021;HM;3;4;S2;2;3;5;5;25;3;;;;;;;;;38;
13.09.2021;HM;3;4;S2;3;3;10;5;15;10;;;;;;;;;40;
13.09.2021;HM;3;4;S2;4;3;0;5;15;0;;;;;;;;;20;
15.09.2021;VSM;1;1;S1;1;4;8;2;1;1;;;;;;;;;12;
15.09.2021;VSM;1;1;S1;2;3;3;1;1;1;;;;;;;;;6;
15.09.2021;VSM;1;1;S1;3;3;4;0;4;0;;;;;;;;;8;
15.09.2021;VSM;1;1;S1;4;2;4;1;3;1;;;;;;;;;9;
15.09.2021;VSM;1;1;S2;1;6;2;3;1;0;;;;;;;;;6;
15.09.2021;VSM;1;1;S2;2;4;6;6;7;1;;;;;;;;;20;
15.09.2021;VSM;1;1;S2;3;5;3;1;3;0;;;;;;;;;7;
15.09.2021;VSM;1;1;S2;4;6;3;0;3;0;;;;;;;;;6;
15.09.2021;VSM;1;2;S1;1;3;7;0;0;0;;;;;;;;;7;
15.09.2021;VSM;1;2;S1;2;4;4;1;2;;;;;;;;;;7;
15.09.2021;VSM;1;2;S1;3;3;5;2;3;0;;;;;;;;;8;
15.09.2021;VSM;1;2;S1;4;3;5;2;2;1;;;;;;;;;10;
15.09.2021;VSM;1;2;S2;1;4;5;1;1;1;;;;;;;;;8;
15.09.2021;VSM;1;2;S2;2;3;3;1;2;;;;;;;;;;6;
15.09.2021;VSM;1;2;S2;3;5;4;3;0;0;;;;;;;;;7;
15.09.2021;VSM;1;2;S2;4;3;5;3;1;0;;;;;;;;;9;
15.09.2021;VSM;1;3;S1;1;4;4;1;1;1;;;;;;;;;7;
15.09.2021;VSM;1;3;S1;2;6;5;1;1;0;;;;;;;;;7;
15.09.2021;VSM;1;3;S1;3;4;5;1;1;0;;;;;;;;;7;
15.09.2021;VSM;1;3;S1;4;5;6;2;1;0;;;;;;;;;9;
15.09.2021;VSM;1;3;S2;1;4;5;2;1;1;;;;;;;;;9;
15.09.2021;VSM;1;3;S2;2;4;3;1;1;1;;;;;;;;;6;
15.09.2021;VSM;1;3;S2;3;6;1;2;0;1;;;;;;;;;4;tråkk
15.09.2021;VSM;1;3;S2;4;5;5;0;0;0;;;;;;;;;5;
15.09.2021;VSM;1;4;S1;1;3;5;1;1;2;;;;;;;;;9;
15.09.2021;VSM;1;4;S1;2;6;6;1;1;2;;;;;;;;;10;tråkk
15.09.2021;VSM;1;4;S1;3;6;3;0;0;0;;;;;;;;;3;
15.09.2021;VSM;1;4;S1;4;6;2;3;1;0;;;;;;;;;6;
15.09.2021;VSM;1;4;S2;1;3;3;2;0;2;;;;;;;;;7;
15.09.2021;VSM;1;4;S2;2;4;3;2;1;1;;;;;;;;;7;
15.09.2021;VSM;1;4;S2;3;6;5;1;0;0;;;;;;;;;6;
15.09.2021;VSM;1;4;S2;4;6;1;1;0;1;;;;;;;;;3;
15.09.2021;VSM;2;1;S1;1;2;8;1;3;15;;;;;;;;;27;
15.09.2021;VSM;2;1;S1;2;2;10;0;7;4;;;;;;;;;21;
15.09.2021;VSM;2;1;S1;3;2;5;1;5;35;;;;;;;;;46;smårute 5
15.09.2021;VSM;2;1;S1;4;1;10;10;10;10;;;;;;;;;40;
15.09.2021;VSM;2;1;S2;1;4;5;5;3;2;;;;;;;;;15;under torvull
15.09.2021;VSM;2;1;S2;2;4;5;8;5;2;;;;;;;;;20;
15.09.2021;VSM;2;1;S2;3;2;35;7;3;10;;;;;;;;;55;smårute 6
15.09.2021;VSM;2;1;S2;4;3;15;3;5;2;;;;;;;;;25;
15.09.2021;VSM;2;2;S1;1;6;0;1;0;1;;;;;;;;;2;
15.09.2021;VSM;2;2;S1;2;2;8;10;5;3;;2;;;;;;;28;
15.09.2021;VSM;2;2;S1;3;3;12;6;15;2;;;;;;;;;35;
15.09.2021;VSM;2;2;S1;4;6;13;2;5;5;;;;;;;;;25;
15.09.2021;VSM;2;2;S2;1;2;5;5;25;15;;;;;;;;;50;
15.09.2021;VSM;2;2;S2;2;4;10;3;8;6;;;;;;;;;27;
15.09.2021;VSM;2;2;S2;3;2;4;3;4;;;;;;;;;;11;
15.09.2021;VSM;2;2;S2;4;6;1;3;4;3;;;;;;;;;11;
15.09.2021;VSM;2;3;S1;1;6;3;0;1;1;;2;;;;;;;7;
15.09.2021;VSM;2;3;S1;2;6;1;2;3;3;;;;;;;;;9;
15.09.2021;VSM;2;3;S1;3;4;5;3;1;2;;;;;;;;;11;
15.09.2021;VSM;2;3;S1;4;5;7;1;;;;;;;;;;;8;
15.09.2021;VSM;2;3;S2;1;4;7;1;2;1*;;;;;;;;;11;
15.09.2021;VSM;2;3;S2;2;4;10;10;;;;;;;;;;;20;
